Station_Code,latitude,longitude,Hub distance end point_latitude,Hub distance end point_longitude,Hub distance end point_HubName_mouth,Hub distance end point_dist_to_mouth_m,Hub distance start point_latitude,Hub distance start point_longitude,Hub distance start point_HubName_head,Hub distance start point_dist_to_headwater_m,Hub distance KBA_latitude,Hub distance KBA_longitude,Hub distance KBA_Hub distance end point_latitude,Hub distance KBA_Hub distance end point_longitude,Hub distance KBA_Hub distance end point_HubName_mouth,Hub distance KBA_Hub distance end point_dist_to_mouth_m,Hub distance KBA_Hub distance start point_latitude,Hub distance KBA_Hub distance start point_longitude,Hub distance KBA_Hub distance start point_HubName_head,Hub distance KBA_Hub distance start point_dist_to_headwater_m,Hub distance KBA_HubName,Hub distance KBA_HubDist
PLT2022A05,9.934805556,118.6452778,9.934805556,118.6452778,,1116.24980203391,9.934805556,118.6452778,"0",511.196762591616,9.934805556,118.6452778,9.934805556,118.6452778,,1116.24980203391,9.934805556,118.6452778,"0",511.196762591616,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,39795.6452326417
PLT2022A06,9.7265,118.4546667,9.7265,118.4546667,,4614.77057644802,9.7265,118.4546667,"0",646.316562154671,9.7265,118.4546667,9.7265,118.4546667,,4614.77057644802,9.7265,118.4546667,"0",646.316562154671,Victoria and Anepahan Ranges,41917.7829825898
PLT2022A07,9.546027778,118.6539722,9.546027778,118.6539722,,1182.16273834521,9.546027778,118.6539722,"0",284.592877999295,9.546027778,118.6539722,9.546027778,118.6539722,,1182.16273834521,9.546027778,118.6539722,"0",284.592877999295,Rasa Island Wildlife Sanctuary,42120.4513554366
PLT2022A08,10.02525,119.1219167,10.02525,119.1219167,Langogan River,341.62706468833,10.02525,119.1219167,"0",3467.72011371832,10.02525,119.1219167,10.02525,119.1219167,Langogan River,341.62706468833,10.02525,119.1219167,"0",3467.72011371832,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,27315.4886185094
PLT2022A09,13.77014167,121.0280167,13.77014167,121.0280167,,1269.01322744599,13.77014167,121.0280167,"0",730.0955164839,13.77014167,121.0280167,13.77014167,121.0280167,,1269.01322744599,13.77014167,121.0280167,"0",730.0955164839,Taal Volcano Protected Landscape,26709.7306642557
PLT2022A10,13.67039722,121.0536333,13.67039722,121.0536333,,1966.94017579015,13.67039722,121.0536333,"0",156.577881717709,13.67039722,121.0536333,13.67039722,121.0536333,,1966.94017579015,13.67039722,121.0536333,"0",156.577881717709,Puerto Galera,23117.6867562882
PLT2022A11,13.73667222,121.0562917,13.73667222,121.0562917,,665.133962321367,13.73667222,121.0562917,"0",710.87049098588,13.73667222,121.0562917,13.73667222,121.0562917,,665.133962321367,13.73667222,121.0562917,"0",710.87049098588,Puerto Galera,29536.1509329129
PLT2022A12,14.50194583,120.9925513,14.50194583,120.9925513,,158.502500122694,14.50194583,120.9925513,"0",190.497370919116,14.50194583,120.9925513,14.50194583,120.9925513,,158.502500122694,14.50194583,120.9925513,"0",190.497370919116,Manila Bay,39003.9234962244
PLT2022A13,14.588505,120.954974,14.588505,120.954974,Pasig  River,1122.98005427812,14.588505,120.954974,"0",1094.109930224,14.588505,120.954974,14.588505,120.954974,Pasig  River,1122.98005427812,14.588505,120.954974,"0",1094.109930224,Manila Bay,29083.6400758784
REI2022A01,10.816072,115.822639,10.816072,115.822639,,279879.858590036,10.816072,115.822639,"0",278912.261780223,10.816072,115.822639,10.816072,115.822639,,279879.858590036,10.816072,115.822639,"0",278912.261780223,Mount Mantalingahan,296990.123705811
