Station_Code,latitude,longitude,dist_to_endpoint_m,dist_to_startpoint_m,KBA_dist_m,landfill_dist_m,KBA_Hub,landfill_Hub
SAJ2021A16,9.8741,118.607917,2258.050768,275.5212008,47347.57871,91666.6154,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A18,9.75915,118.509483,5003.687887,3978.023748,47827.66086,90535.45395,Victoria and Anepahan Ranges,Municipal Sanitary Landfill Project
SAJ2021A20,9.7267,118.453567,4718.823475,526.0817131,41889.26978,83644.20712,Victoria and Anepahan Ranges,Municipal Sanitary Landfill Project
ARA2023A01,7.300175,125.84796,60.97392039,5711.150663,47707.21137,4753.448181,Mount Kampalili-Puting Bato,Mabini SLF
ARA2023A02,7.293677,125.847291,734.2133744,5320.640904,47786.54184,5445.507048,Mount Kampalili-Puting Bato,Mabini SLF
ARA2023A03,7.270109,125.840647,3423.341477,5094.131482,48628.83787,8144.322871,Mount Kampalili-Puting Bato,Mabini SLF
ARA2023A04,7.243546,125.842797,6298.927167,5426.262983,48682.3564,10900.62802,Mount Kampalili-Puting Bato,Mabini SLF
CAP2023A01,9.839113333,123.374075,424.3543856,787.2295694,15611.87952,5090.567203,Mount Kangbulagsing and Mount Lanaya,LGU Alburqurque
CAP2023A04,9.839365,123.3728767,476.9415875,828.9981195,15617.64738,5199.431836,Mount Kangbulagsing and Mount Lanaya,LGU Alburqurque
CAP2023A05,9.839346667,123.3730017,470.7751935,824.5800235,15617.85621,5187.669562,Mount Kangbulagsing and Mount Lanaya,LGU Alburqurque
CAP2023A06,9.840071667,123.3732683,541.1616333,899.6798386,15701.72633,5129.174431,Mount Kangbulagsing and Mount Lanaya,LGU Alburqurque
CAP2023A07,10.11634667,123.4910933,1806.451916,571.248845,24785.82984,13980.10513,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A08,10.11618833,123.4914417,1783.725474,554.0507386,24758.98965,13967.18757,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A09,10.11666,123.4922433,1826.325205,454.8133076,24786.78114,13869.4185,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A10,10.116815,123.490895,1860.988603,557.9033681,24841.50657,13956.80462,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A11,10.11677667,123.4909983,1855.042465,550.9269152,24834.46146,13952.21989,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A12,10.11676833,123.4917233,1843.682872,488.3295275,24812.98461,13899.04073,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A13,11.05933333,123.9928,1095.793163,352.2943282,52521.40216,55845.49214,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A14,11.0591,123.9928833,1096.6194,350.7220896,52497.27325,55836.28211,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A15,11.05895,123.99295,1098.891419,352.206471,52481.98181,55828.93081,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A16,11.05903333,123.9934333,1152.204663,405.3995114,52499.14976,55776.15764,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A17,11.05886667,123.9935667,1161.429646,414.7001843,52483.16597,55761.51395,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A18,11.05866667,123.9938533,1186.476276,440.9196082,52466.11985,55730.12525,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A19,10.08334167,123.661805,5171.303054,1489.669743,23696.1944,16719.48561,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A20,10.083165,123.6614917,5181.44032,1473.25952,23661.71038,16716.84887,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A21,10.08332333,123.66112,5154.36447,1430.13044,23655.68974,16679.81831,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A22,10.08262333,123.6616983,5245.127318,1527.504545,23622.17342,16779.33923,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A23,10.08250833,123.6611217,5241.857116,1486.177022,23578.56927,16755.32376,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A24,10.08271833,123.6614467,5228.046253,1499.300385,23616.87379,16755.40888,Nug-as and Mount Lantoy,San Rafael Moreno SLF
CAP2023A25,10.58101667,124.0331,2884.433912,1321.082675,12417.19174,20460.17824,Mount Capayas,Asian Energy System Inc.
CAP2023A26,10.58093333,124.0329,2873.954499,1297.999926,12396.11862,20440.99411,Mount Capayas,Asian Energy System Inc.
CAP2023A27,10.58076667,124.0326833,2868.399724,1267.9701,12373.99264,20412.97759,Mount Capayas,Asian Energy System Inc.
CAP2023A28,10.581,124.0333,2902.244034,1337.701757,12439.15691,20469.90021,Mount Capayas,Asian Energy System Inc.
CAP2023A29,10.58088333,124.03325,2906.49768,1325.746152,12434.74483,20456.02413,Mount Capayas,Asian Energy System Inc.
CAP2023A30,10.58061667,124.0329833,2903.952961,1284.888772,12408.09198,20415.69079,Mount Capayas,Asian Energy System Inc.
